sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp2k	g44	imaging	16	0	109.0	953536.0
mcp2k	g44	clus+QL	16	0	70.0	531552.0
mcp2k	g45	imaging	16	0	110.0	949440.0
mcp2k	g45	clus+QL	16	0	69.0	495248.0
mcp2k	g46	imaging	16	0	119.0	974672.0
mcp2k	g46	clus+QL	16	0	86.0	563800.0
mcp2k	g47	imaging	16	0	108.0	944056.0
mcp2k	g47	clus+QL	16	0	70.0	560344.0
mcp2k	g48	imaging	16	0	120.0	977052.0
mcp2k	g48	clus+QL	16	0	76.0	575228.0
mcp2k	g49	imaging	16	0	133.0	950368.0
mcp2k	g49	clus+QL	16	0	89.0	547632.0
mcp2k	g5	imaging	16	0	123.0	976604.0
mcp2k	g5	clus+QL	16	0	87.0	600884.0
mcp2k	g50	imaging	16	0	116.0	952544.0
mcp2k	g50	clus+QL	16	0	89.0	732464.0
mcp2k	g51	imaging	16	0	107.0	952280.0
mcp2k	g51	clus+QL	16	0	65.0	503364.0
mcp2k	g52	imaging	16	0	117.0	970648.0
mcp2k	g52	clus+QL	16	0	75.0	518600.0
mcp2k	g53	imaging	16	0	124.0	952048.0
mcp2k	g53	clus+QL	16	0	90.0	682120.0
mcp2k	g54	imaging	16	0	107.0	957336.0
mcp2k	g54	clus+QL	16	0	73.0	509000.0
mcp2k	g55	imaging	16	0	99.0	946888.0
mcp2k	g55	clus+QL	16	0	57.0	503976.0
mcp2k	g56	imaging	16	0	124.0	971920.0
mcp2k	g56	clus+QL	16	0	82.0	748056.0
mcp2k	g57	imaging	16	0	109.0	957236.0
mcp2k	g57	clus+QL	16	0	69.0	525404.0
mcp2k	g58	imaging	16	0	113.0	958436.0
mcp2k	g58	clus+QL	16	0	75.0	542276.0
mcp2k	g59	imaging	16	0	115.0	968032.0
mcp2k	g59	clus+QL	16	0	76.0	535136.0
mcp2k	g6	imaging	16	0	118.0	953968.0
mcp2k	g6	clus+QL	16	0	85.0	590220.0
mcp2k	g60	imaging	16	0	116.0	972176.0
mcp2k	g60	clus+QL	16	0	75.0	595776.0
mcp2k	g61	imaging	16	0	94.0	951904.0
mcp2k	g61	clus+QL	16	0	51.0	485100.0
mcp2k	g62	imaging	8	0	58.0	948824.0
mcp2k	g62	clus+QL	8	0	39.0	560844.0
mcp2k	g63	imaging	16	0	127.0	971220.0
mcp2k	g63	clus+QL	16	0	87.0	551112.0
mcp2k	g64	imaging	16	0	125.0	954356.0
mcp2k	g64	clus+QL	16	0	82.0	540280.0
mcp2k	g65	imaging	16	0	136.0	948704.0
mcp2k	g65	clus+QL	16	0	96.0	672076.0
mcp2k	g66	imaging	16	0	127.0	956864.0
mcp2k	g66	clus+QL	16	0	81.0	536456.0
mcp2k	g67	imaging	16	0	131.0	953628.0
mcp2k	g67	clus+QL	16	0	84.0	571960.0
mcp2k	g68	imaging	16	0	118.0	944628.0
mcp2k	g68	clus+QL	16	0	78.0	531412.0
mcp2k	g69	imaging	16	0	119.0	951472.0
mcp2k	g69	clus+QL	16	0	72.0	506176.0
mcp2k	g7	imaging	16	0	130.0	984316.0
mcp2k	g7	clus+QL	16	0	92.0	536576.0
mcp2k	g70	imaging	16	0	130.0	952312.0
mcp2k	g70	clus+QL	16	0	86.0	511868.0
mcp2k	g71	imaging	16	0	108.0	951536.0
mcp2k	g71	clus+QL	16	0	67.0	521248.0
mcp2k	g72	imaging	16	0	132.0	953104.0
mcp2k	g72	clus+QL	16	0	86.0	618776.0
mcp2k	g73	imaging	16	0	102.0	949068.0
mcp2k	g73	clus+QL	16	0	61.0	462196.0
mcp2k	g74	imaging	16	0	139.0	962904.0
mcp2k	g74	clus+QL	16	0	112.0	614912.0
mcp2k	g75	imaging	16	0	109.0	954212.0
mcp2k	g75	clus+QL	16	0	64.0	532140.0
mcp2k	g76	imaging	16	0	147.0	1059496.0
mcp2k	g76	clus+QL	16	0	134.0	893448.0
mcp2k	g77	imaging	16	0	130.0	974328.0
mcp2k	g77	clus+QL	16	0	108.0	622200.0
mcp2k	g78	imaging	16	0	103.0	949432.0
mcp2k	g78	clus+QL	16	0	58.0	484424.0
mcp2k	g79	imaging	16	0	112.0	953916.0
mcp2k	g79	clus+QL	16	0	119.0	529724.0
mcp2k	g8	imaging	16	0	122.0	953020.0
mcp2k	g8	clus+QL	16	0	77.0	525896.0
mcp2k	g80	imaging	16	0	125.0	971340.0
mcp2k	g80	clus+QL	16	0	145.0	536776.0
mcp2k	g81	imaging	16	0	130.0	971720.0
mcp2k	g81	clus+QL	16	0	128.0	526628.0
mcp2k	g82	imaging	16	0	140.0	975564.0
mcp2k	g82	clus+QL	16	0	149.0	561796.0
mcp2k	g83	imaging	16	0	108.0	970472.0
mcp2k	g83	clus+QL	16	0	109.0	505224.0
mcp2k	g84	imaging	16	0	128.0	951392.0
mcp2k	g84	clus+QL	16	0	134.0	528500.0
mcp2k	g85	imaging	16	0	136.0	948028.0
mcp2k	g85	clus+QL	16	0	148.0	636360.0
mcp2k	g86	imaging	16	0	107.0	951140.0
mcp2k	g86	clus+QL	16	0	101.0	530372.0
mcp2k	g87	imaging	16	0	126.0	953964.0
mcp2k	g87	clus+QL	16	0	124.0	571360.0
mcp2k	g88	imaging	16	0	130.0	957212.0
mcp2k	g88	clus+QL	16	0	129.0	578548.0
mcp2k	g89	imaging	16	0	139.0	969488.0
mcp2k	g89	clus+QL	16	0	141.0	604488.0
