arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_12_d07bb	46	46	2	0	1181	926	48	48	835	278	0	30	3.5
029107_12_d07bb	62	62	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	65	65	1	1	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	68	68	1	1	2	2	1	1	2	0	0	0	0.0
029107_12_d07bb	72	72	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	73	73	1	1	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	74	74	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	75	75	1	1	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	100	100	1	1	2	2	1	1	2	0	0	0	0.0
029107_12_d07bb	131	131	0	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	132	132	0	0	7	7	3	3	7	0	0	0	0.0
029107_12_d07bb	133	133	0	0	23	27	1	1	19	0	0	2	0.4
029107_12_d07bb	134	134	0	0	7	7	1	1	7	0	0	0	0.0
029107_12_d07bb	135	135	0	0	393	353	18	18	332	39	0	9	8.0
029107_12_d07bb	136	136	0	0	8	5	1	1	6	0	0	2	0.0
029107_12_d07bb	137	137	0	0	42	62	2	2	34	1	0	5	1.8
029107_12_d07bb	138	138	0	0	29	36	1	1	27	0	0	1	0.4
029107_12_d07bb	139	139	0	0	33	31	2	2	30	0	0	1	1.4
029107_12_d07bb	140	140	0	0	17	15	1	1	16	0	0	1	0.0
029107_12_d07bb	141	141	0	0	163	170	8	8	132	7	0	16	6.7
029107_12_d07bb	142	142	0	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	143	143	0	0	35	33	3	3	32	1	0	1	0.3
029107_12_d07bb	144	144	0	0	55	70	1	1	55	0	0	0	0.0
029107_12_d07bb	145	145	0	0	2	2	1	1	2	0	0	0	0.0
029107_12_d07bb	148	148	0	0	152	134	13	13	113	23	0	6	6.5
029107_12_d07bb	149	149	0	0	6	6	1	1	6	0	0	0	0.0
029107_12_d07bb	150	150	0	0	61	52	3	3	55	0	0	6	0.0
029107_12_d07bb	151	151	0	0	19	31	1	1	16	0	0	2	0.5
029107_12_d07bb	152	152	0	0	97	108	4	4	88	0	0	9	0.0
029107_12_d07bb	153	153	0	0	14	14	1	1	13	0	0	1	0.0
029107_12_d07bb	154	154	0	0	25	24	1	1	25	0	0	0	0.0
029107_12_d07bb	155	155	0	0	18	16	1	1	13	0	0	4	0.3
029107_12_d07bb	156	156	0	0	11	7	1	1	9	0	0	1	0.3
029107_12_d07bb	157	157	0	0	22	20	1	1	18	0	0	3	0.4
029107_12_d07bb	158	158	0	0	11	6	1	1	7	0	0	2	0.4
029107_12_d07bb	159	159	0	0	10	10	1	1	10	0	0	0	0.0
029107_12_d07bb	160	160	0	0	20	24	1	1	19	0	0	1	0.0
029107_12_d07bb	161	161	2	0	4	4	1	1	4	0	0	0	0.0
029107_12_d07bb	162	162	2	0	3	3	1	1	3	0	0	0	0.0
029107_12_d07bb	163	163	2	0	5	5	1	1	5	0	0	0	0.0
029107_12_d07bb	164	164	0	0	103	106	4	4	93	5	0	5	0.0
029107_1_d07bbum	2	2	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bbum	3	3	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	4	4	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	5	5	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	6	6	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	7	7	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	8	8	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	9	9	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	10	10	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bbum	11	11	2	0	8	5	1	1	6	0	0	2	0.0
029107_1_d07bbum	12	12	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	13	13	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	16	16	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bbum	17	17	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	18	18	2	0	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	20	20	2	0	2	2	1	1	2	0	0	0	0.0
029107_1_d07bbum	22	22	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bbum	23	23	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	24	24	2	0	3	3	1	1	3	0	0	0	0.0
029107_1_d07bbum	25	25	0	0	8	8	1	1	8	0	0	0	0.0
029107_1_d07bbum	26	26	0	0	13	13	1	1	13	0	0	0	0.0
029107_1_d07bbum	27	27	0	0	8	8	1	1	8	0	0	0	0.0
029107_1_d07bbum	29	29	2	0	44	40	1	1	38	0	0	5	0.4
029107_1_d07bbum	32	32	0	0	325	200	15	15	155	56	0	25	16.7
029107_1_d07bbum	33	33	0	0	1360	1332	79	79	1186	91	0	67	2.7
